section,documents,words
00-zarzadzanie-dokumentacja,26,8157
01-fundamenty,11,2562
02-tla-i-powierzchnie,5,1369
03-dostep-rejestracja-onboarding,42,14031
04-komponenty-bazowe,66,26087
04-komponenty-domenowe,18,4587
05-wykresy-i-wizualizacje,19,8113
06-powloka-produktu-i-nawigacja,11,6738
07-centrum-dowodzenia,14,9631
08-kampanie-platne,8,5254
09-zamowienia,8,4986
10-produkty,9,5885
11-klienci,8,5091
12-ruch-i-lejek,9,5932
13-integracje-i-synchronizacja,10,6406
14-jakosc-danych-i-integralnosc,10,6456
15-papa-asystent-i-laboratorium-ai,17,10813
16-ustawienia-zespol-bezpieczenstwo,10,6384
17-subskrypcja-i-platnosci,14,7530
18-wsparcie-marketingowe-decyzje-dzialania,10,6367
19-centrum-pomocy,6,3776
20-przeplywy-e2e,18,16093
21-stany-przekrojowe,10,4521
22-mapy-i-indeksy,10,16878
23-bezpieczenstwo-platformy,19,2150
24-aplikacja-mobilna,14,2627
25-kontrakty-domenowe-i-api,23,18521
26-priorytety-p0,12,1595
27-pakiet-prawny-i-organizacyjny,26,10047
