surface_id,surface_document,surface_name,auth_state,auth_reason,operation_id,success_transition,error_transition,owner,version
auth-01,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Wejście do Auth,AccessEntryReady,entryRequested,access.resolve,auth-02|auth-03|auth-15,auth-27,Artur Wiśniewski,1.0
auth-02,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Logowanie,LoginFormReady,credentialsRequired,auth.login,auth-16|auth-29,auth-28,Artur Wiśniewski,1.0
auth-03,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Wejście do rejestracji,RegistrationChoiceReady,registrationMethodRequired,access.resolve,auth-04|auth-05,auth-27,Artur Wiśniewski,1.0
auth-04,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Rejestracja adresem e-mail,EmailRegistrationReady,emailRegistrationSelected,auth.register.email,auth-12,auth-28,Artur Wiśniewski,1.0
auth-05,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Rejestracja przez OAuth,OAuthRegistrationStarted,oauthRegistrationSelected,auth.oauth.start,auth-06|auth-13,auth-27,Artur Wiśniewski,1.0
auth-06,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Weryfikacja adresu e-mail,EmailVerificationPending,emailVerificationRequired,auth.email.verify,auth-13,auth-06|auth-27,Artur Wiśniewski,1.0
auth-07,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Identyfikacja firmy,CompanyIdentificationReady,companyContextRequired,company.lookup,auth-08|auth-10|auth-11,auth-27,Artur Wiśniewski,1.0
auth-08,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Wyszukiwanie firmy,CompanyLookupRunning,companySearchRequested,company.lookup,auth-09,auth-10,Artur Wiśniewski,1.0
auth-09,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Sprawdzenie i edycja danych firmy,CompanyDataReviewReady,companyCandidateSelected,company.draft.update,auth-12,auth-10,Artur Wiśniewski,1.0
auth-10,03-dostep-rejestracja-onboarding/powierzchnie-auth.md,Ręczne wprowadzenie firmy,ManualCompanyEntryReady,companyManualEntryRequired,company.draft.update,auth-12,auth-10,Artur Wiśniewski,1.0
