surface_id,surface_document,surface_name,auth_state,auth_reason,operation_id,success_transition,error_transition,owner,version
auth-01,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-01-wejscie-do-auth.md,Wejście do Auth,AccessEntryReady,entryRequested,access.resolve,auth-02|auth-03|auth-15,auth-27,Artur Wiśniewski,1.0
auth-02,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,Logowanie,LoginFormReady,credentialsRequired,auth.login,auth-16|auth-29,auth-28,Artur Wiśniewski,1.0
auth-03,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-03-wejscie-do-rejestracji.md,Wejście do rejestracji,RegistrationChoiceReady,registrationMethodRequired,access.resolve,auth-04|auth-05,auth-27,Artur Wiśniewski,1.0
auth-04,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-04-rejestracja-adresem-e-mail.md,Rejestracja adresem e-mail,EmailRegistrationReady,emailRegistrationSelected,auth.register.email,auth-12,auth-28,Artur Wiśniewski,1.0
auth-05,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-05-rejestracja-przez-oauth.md,Rejestracja przez OAuth,OAuthRegistrationStarted,oauthRegistrationSelected,auth.oauth.start,auth-06|auth-13,auth-27,Artur Wiśniewski,1.0
auth-06,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-06-weryfikacja-adresu-e-mail.md,Weryfikacja adresu e-mail,EmailVerificationPending,emailVerificationRequired,auth.email.verify,auth-13,auth-06|auth-27,Artur Wiśniewski,1.0
auth-07,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-07-identyfikacja-firmy.md,Identyfikacja firmy,CompanyIdentificationReady,companyContextRequired,company.lookup,auth-08|auth-10|auth-11,auth-27,Artur Wiśniewski,1.0
auth-08,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-08-wyszukiwanie-firmy.md,Wyszukiwanie firmy,CompanyLookupRunning,companySearchRequested,company.lookup,auth-09,auth-10,Artur Wiśniewski,1.0
auth-09,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-09-sprawdzenie-i-edycja-danych-firmy.md,Sprawdzenie i edycja danych firmy,CompanyDataReviewReady,companyCandidateSelected,company.draft.update,auth-12,auth-10,Artur Wiśniewski,1.0
auth-10,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-10-reczne-wprowadzenie-firmy.md,Ręczne wprowadzenie firmy,ManualCompanyEntryReady,companyManualEntryRequired,company.draft.update,auth-12,auth-10,Artur Wiśniewski,1.0
auth-11,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-11-firma-juz-zarejestrowana.md,Firma już zarejestrowana,CompanyAlreadyRegistered,companyAlreadyExists,invitation.request,auth-15|auth-28,auth-27,Artur Wiśniewski,1.0
auth-12,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-12-zgody-rejestracyjne.md,Zgody rejestracyjne,RegistrationConsentsReady,registrationConsentsRequired,auth.consents.accept,auth-13,auth-12,Artur Wiśniewski,1.0
auth-13,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-13-przetwarzanie-rejestracji.md,Przetwarzanie rejestracji,RegistrationProcessing,registrationSubmissionPending,auth.registration.finalize,auth-14,auth-27,Artur Wiśniewski,1.0
auth-14,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-14-rejestracja-zakonczona.md,Rejestracja zakończona,RegistrationCompleted,registrationCompleted,access.bootstrap,auth-21|auth-29,auth-27,Artur Wiśniewski,1.0
auth-15,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-15-przeglad-zaproszenia.md,Przegląd zaproszenia,InvitationReviewReady,invitationReceived,invitation.validate,auth-02|auth-04|auth-21,auth-28,Artur Wiśniewski,1.0
auth-16,03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-16-weryfikacja-mfa.md,Weryfikacja MFA,MfaChallengeReady,mfaChallengeRequired,auth.mfa.verify,auth-21|auth-29,auth-16|auth-28,Artur Wiśniewski,1.0
