screen_id,ekran,komponent,component_document,status
20.10,Nakładki i warstwy interfejsu,AlertDialog,04-komponenty-bazowe/komponenty/alertdialog.md,required
30.02,Kolejka uwagi,ApprovalPanel,04-komponenty-bazowe/komponenty/approvalpanel.md,required
30.01,Widok główny,AssistantComposer,04-komponenty-bazowe/komponenty/assistantcomposer.md,required
20.10,Nakładki i warstwy interfejsu,BackgroundOperationItem,04-komponenty-bazowe/komponenty/backgroundoperationitem.md,required
20.10,Nakładki i warstwy interfejsu,BottomSheet,04-komponenty-bazowe/komponenty/bottomsheet.md,required
30.01,Widok główny,BrandLockup,04-komponenty-bazowe/komponenty/brandlockup.md,required
30.01,Widok główny,BrandMark,04-komponenty-bazowe/komponenty/brandmark.md,required
20.01,Powłoka aplikacji,Breadcrumbs,04-komponenty-bazowe/komponenty/breadcrumbs.md,required
20.01,Powłoka aplikacji,BulkActionBar,04-komponenty-bazowe/komponenty/bulkactionbar.md,required
30.01,Widok główny,Button,04-komponenty-bazowe/komponenty/button.md,required
25.02,Logowanie,Checkbox,04-komponenty-bazowe/komponenty/checkbox.md,required
20.01,Powłoka aplikacji,ColumnPicker,04-komponenty-bazowe/komponenty/columnpicker.md,required
30.01,Widok główny,Combobox,04-komponenty-bazowe/komponenty/combobox.md,required
30.01,Widok główny,DataTable,04-komponenty-bazowe/komponenty/datatable.md,required
30.01,Widok główny,DateRangePicker,04-komponenty-bazowe/komponenty/daterangepicker.md,required
30.02,Kolejka uwagi,DecisionCard,04-komponenty-bazowe/komponenty/decisioncard.md,required
30.01,Widok główny,DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,required
20.10,Nakładki i warstwy interfejsu,Dialog,04-komponenty-bazowe/komponenty/dialog.md,required
20.10,Nakładki i warstwy interfejsu,Drawer,04-komponenty-bazowe/komponenty/drawer.md,required
20.10,Nakładki i warstwy interfejsu,EmptyState,04-komponenty-bazowe/komponenty/emptystate.md,required
20.10,Nakładki i warstwy interfejsu,ErrorState,04-komponenty-bazowe/komponenty/errorstate.md,required
25.02,Logowanie,FileInput,04-komponenty-bazowe/komponenty/fileinput.md,required
20.01,Powłoka aplikacji,FilterBar,04-komponenty-bazowe/komponenty/filterbar.md,required
30.01,Widok główny,IconButton,04-komponenty-bazowe/komponenty/iconbutton.md,required
20.10,Nakładki i warstwy interfejsu,InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,required
20.10,Nakładki i warstwy interfejsu,Menu,04-komponenty-bazowe/komponenty/menu.md,required
25.02,Logowanie,NipField,04-komponenty-bazowe/komponenty/nipfield.md,required
25.02,Logowanie,NumberField,04-komponenty-bazowe/komponenty/numberfield.md,required
20.01,Powłoka aplikacji,PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,required
20.01,Powłoka aplikacji,Pagination,04-komponenty-bazowe/komponenty/pagination.md,required
20.01,Powłoka aplikacji,PaginationNav,04-komponenty-bazowe/komponenty/paginationnav.md,required
30.01,Widok główny,Panel,04-komponenty-bazowe/komponenty/panel.md,required
25.02,Logowanie,PasswordField,04-komponenty-bazowe/komponenty/passwordfield.md,required
20.10,Nakładki i warstwy interfejsu,Popover,04-komponenty-bazowe/komponenty/popover.md,required
20.10,Nakładki i warstwy interfejsu,ProgressIndicator,04-komponenty-bazowe/komponenty/progressindicator.md,required
