screen_id,ekran,rola,capability,zakres
30.01,Widok główny,Owner,command-center.read,read + capability-specific actions
30.01,Widok główny,Admin,command-center.read,read + capability-specific actions
30.01,Widok główny,Analyst,command-center.read,read + capability-specific actions
30.01,Widok główny,Viewer,command-center.read,read
30.02,Kolejka uwagi,Owner,command-center.read,read + capability-specific actions
30.02,Kolejka uwagi,Admin,command-center.read,read + capability-specific actions
30.02,Kolejka uwagi,Analyst,command-center.read,read + capability-specific actions
30.02,Kolejka uwagi,Viewer,command-center.read,read
30.03,KPI,Owner,command-center.read,read + capability-specific actions
30.03,KPI,Admin,command-center.read,read + capability-specific actions
30.03,KPI,Analyst,command-center.read,read + capability-specific actions
30.03,KPI,Viewer,command-center.read,read
30.04,Plan vs wynik,Owner,command-center.read,read + capability-specific actions
30.04,Plan vs wynik,Admin,command-center.read,read + capability-specific actions
30.04,Plan vs wynik,Analyst,command-center.read,read + capability-specific actions
30.04,Plan vs wynik,Viewer,command-center.read,read
30.05,Drivery wyniku,Owner,command-center.read,read + capability-specific actions
30.05,Drivery wyniku,Admin,command-center.read,read + capability-specific actions
30.05,Drivery wyniku,Analyst,command-center.read,read + capability-specific actions
30.05,Drivery wyniku,Viewer,command-center.read,read
30.06,Źródła sprzedaży,Owner,command-center.read,read + capability-specific actions
30.06,Źródła sprzedaży,Admin,command-center.read,read + capability-specific actions
30.06,Źródła sprzedaży,Analyst,command-center.read,read + capability-specific actions
30.06,Źródła sprzedaży,Viewer,command-center.read,read
30.07,Ruch,Owner,command-center.read,read + capability-specific actions
30.07,Ruch,Admin,command-center.read,read + capability-specific actions
30.07,Ruch,Analyst,command-center.read,read + capability-specific actions
30.07,Ruch,Viewer,command-center.read,read
30.08,Produkty,Owner,command-center.read,read + capability-specific actions
30.08,Produkty,Admin,command-center.read,read + capability-specific actions
30.08,Produkty,Analyst,command-center.read,read + capability-specific actions
30.08,Produkty,Viewer,command-center.read,read
30.09,Klienci,Owner,command-center.read,read + capability-specific actions
30.09,Klienci,Admin,command-center.read,read + capability-specific actions
30.09,Klienci,Analyst,command-center.read,read + capability-specific actions
30.09,Klienci,Viewer,command-center.read,read
30.10,Lejek,Owner,command-center.read,read + capability-specific actions
30.10,Lejek,Admin,command-center.read,read + capability-specific actions
30.10,Lejek,Analyst,command-center.read,read + capability-specific actions
30.10,Lejek,Viewer,command-center.read,read
30.11,Rekomendacje AI — skrót,Owner,command-center.read,read + capability-specific actions
30.11,Rekomendacje AI — skrót,Admin,command-center.read,read + capability-specific actions
30.11,Rekomendacje AI — skrót,Analyst,command-center.read,read + capability-specific actions
30.11,Rekomendacje AI — skrót,Viewer,command-center.read,read
30.12,Sygnały sprzedażowe,Owner,command-center.read,read + capability-specific actions
30.12,Sygnały sprzedażowe,Admin,command-center.read,read + capability-specific actions
30.12,Sygnały sprzedażowe,Analyst,command-center.read,read + capability-specific actions
30.12,Sygnały sprzedażowe,Viewer,command-center.read,read
30.13,Waterfall,Owner,command-center.read,read + capability-specific actions
30.13,Waterfall,Admin,command-center.read,read + capability-specific actions
30.13,Waterfall,Analyst,command-center.read,read + capability-specific actions
30.13,Waterfall,Viewer,command-center.read,read
30.14,Warianty Centrum Dowodzenia,Owner,command-center.read,read + capability-specific actions
30.14,Warianty Centrum Dowodzenia,Admin,command-center.read,read + capability-specific actions
30.14,Warianty Centrum Dowodzenia,Analyst,command-center.read,read + capability-specific actions
30.14,Warianty Centrum Dowodzenia,Viewer,command-center.read,read
31.01,Przegląd,Owner,campaigns.read,read + capability-specific actions
31.01,Przegląd,Admin,campaigns.read,read + capability-specific actions
31.01,Przegląd,Analyst,campaigns.read,read + capability-specific actions
31.01,Przegląd,Viewer,campaigns.read,read
31.02,Lista kampanii,Owner,campaigns.read,read + capability-specific actions
31.02,Lista kampanii,Admin,campaigns.read,read + capability-specific actions
31.02,Lista kampanii,Analyst,campaigns.read,read + capability-specific actions
31.02,Lista kampanii,Viewer,campaigns.read,read
31.03,Szczegóły kampanii,Owner,campaigns.read,read + capability-specific actions
31.03,Szczegóły kampanii,Admin,campaigns.read,read + capability-specific actions
31.03,Szczegóły kampanii,Analyst,campaigns.read,read + capability-specific actions
31.03,Szczegóły kampanii,Viewer,campaigns.read,read
31.04,Atrybucja i sprzedaż,Owner,campaigns.read,read + capability-specific actions
31.04,Atrybucja i sprzedaż,Admin,campaigns.read,read + capability-specific actions
31.04,Atrybucja i sprzedaż,Analyst,campaigns.read,read + capability-specific actions
31.04,Atrybucja i sprzedaż,Viewer,campaigns.read,read
31.05,Budżet,Owner,campaigns.read,read + capability-specific actions
31.05,Budżet,Admin,campaigns.read,read + capability-specific actions
31.05,Budżet,Analyst,campaigns.read,read + capability-specific actions
31.05,Budżet,Viewer,campaigns.read,read
31.06,Diagnostyka,Owner,campaigns.read,read + capability-specific actions
31.06,Diagnostyka,Admin,campaigns.read,read + capability-specific actions
31.06,Diagnostyka,Analyst,campaigns.read,read + capability-specific actions
31.06,Diagnostyka,Viewer,campaigns.read,read
31.07,Rekomendacje — kontekst domenowy,Owner,campaigns.read,read + capability-specific actions
31.07,Rekomendacje — kontekst domenowy,Admin,campaigns.read,read + capability-specific actions
31.07,Rekomendacje — kontekst domenowy,Analyst,campaigns.read,read + capability-specific actions
31.07,Rekomendacje — kontekst domenowy,Viewer,campaigns.read,read
31.08,Warianty kampanii,Owner,campaigns.read,read + capability-specific actions
31.08,Warianty kampanii,Admin,campaigns.read,read + capability-specific actions
31.08,Warianty kampanii,Analyst,campaigns.read,read + capability-specific actions
31.08,Warianty kampanii,Viewer,campaigns.read,read
32.01,Przegląd,Owner,orders.read,read + capability-specific actions
32.01,Przegląd,Admin,orders.read,read + capability-specific actions
32.01,Przegląd,Analyst,orders.read,read + capability-specific actions
32.01,Przegląd,Viewer,orders.read,read
32.02,Lista,Owner,orders.read,read + capability-specific actions
32.02,Lista,Admin,orders.read,read + capability-specific actions
32.02,Lista,Analyst,orders.read,read + capability-specific actions
32.02,Lista,Viewer,orders.read,read
32.03,Szczegóły,Owner,orders.read,read + capability-specific actions
32.03,Szczegóły,Admin,orders.read,read + capability-specific actions
32.03,Szczegóły,Analyst,orders.read,read + capability-specific actions
32.03,Szczegóły,Viewer,orders.read,read
32.04,Oś zdarzeń,Owner,orders.read,read + capability-specific actions
32.04,Oś zdarzeń,Admin,orders.read,read + capability-specific actions
32.04,Oś zdarzeń,Analyst,orders.read,read + capability-specific actions
32.04,Oś zdarzeń,Viewer,orders.read,read
32.05,Porównanie źródeł,Owner,orders.read,read + capability-specific actions
32.05,Porównanie źródeł,Admin,orders.read,read + capability-specific actions
32.05,Porównanie źródeł,Analyst,orders.read,read + capability-specific actions
32.05,Porównanie źródeł,Viewer,orders.read,read
32.06,Rekoncyliacja — skrót,Owner,orders.read,read + capability-specific actions
32.06,Rekoncyliacja — skrót,Admin,orders.read,read + capability-specific actions
