id,nazwa,dokument,route_docelowy,modul,document_type,runtime_surface
30.01,Widok główny,07-centrum-dowodzenia/30-01-widok-glowny.md,/app/command-center/widok-glowny,M04,runtime-screen,yes
30.02,Kolejka uwagi,07-centrum-dowodzenia/30-02-kolejka-uwagi.md,/app/command-center/kolejka-uwagi,M04,runtime-screen,yes
30.03,KPI,07-centrum-dowodzenia/30-03-kpi.md,/app/command-center/kpi,M04,runtime-screen,yes
30.04,Plan vs wynik,07-centrum-dowodzenia/30-04-plan-vs-wynik.md,/app/command-center/plan-vs-wynik,M04,runtime-screen,yes
30.05,Drivery wyniku,07-centrum-dowodzenia/30-05-drivery-wyniku.md,/app/command-center/drivery-wyniku,M04,runtime-screen,yes
30.06,Źródła sprzedaży,07-centrum-dowodzenia/30-06-zrodla-sprzedazy.md,/app/command-center/zrodla-sprzedazy,M04,runtime-screen,yes
30.07,Ruch,07-centrum-dowodzenia/30-07-ruch.md,/app/command-center/ruch,M04,runtime-screen,yes
30.08,Produkty,07-centrum-dowodzenia/30-08-produkty.md,/app/command-center/produkty,M04,runtime-screen,yes
30.09,Klienci,07-centrum-dowodzenia/30-09-klienci.md,/app/command-center/klienci,M04,runtime-screen,yes
30.10,Lejek,07-centrum-dowodzenia/30-10-lejek.md,/app/command-center/lejek,M04,runtime-screen,yes
30.11,Rekomendacje AI — skrót,07-centrum-dowodzenia/30-11-rekomendacje-ai-skrot.md,/app/command-center/rekomendacje-ai-skrot,M04,runtime-screen,yes
30.12,Sygnały sprzedażowe,07-centrum-dowodzenia/30-12-sygnaly-sprzedazowe.md,/app/command-center/sygnaly-sprzedazowe,M04,runtime-screen,yes
30.13,Waterfall,07-centrum-dowodzenia/30-13-waterfall.md,/app/command-center/waterfall,M04,runtime-screen,yes
30.14,Warianty Centrum Dowodzenia,07-centrum-dowodzenia/30-14-warianty-centrum-dowodzenia.md,,M04,storybook-variants,no
31.01,Przegląd,08-kampanie-platne/31-01-przeglad.md,/app/campaigns/przeglad,M05,runtime-screen,yes
31.02,Lista kampanii,08-kampanie-platne/31-02-lista-kampanii.md,/app/campaigns/lista-kampanii,M05,runtime-screen,yes
31.03,Szczegóły kampanii,08-kampanie-platne/31-03-szczegoly-kampanii.md,/app/campaigns/szczegoly-kampanii/:resourceId,M05,runtime-screen,yes
31.04,Atrybucja i sprzedaż,08-kampanie-platne/31-04-atrybucja-i-sprzedaz.md,/app/campaigns/atrybucja-i-sprzedaz,M05,runtime-screen,yes
31.05,Budżet,08-kampanie-platne/31-05-budzet.md,/app/campaigns/budzet,M05,runtime-screen,yes
31.06,Diagnostyka,08-kampanie-platne/31-06-diagnostyka.md,/app/campaigns/diagnostyka,M05,runtime-screen,yes
31.07,Rekomendacje — kontekst domenowy,08-kampanie-platne/31-07-rekomendacje-kontekst-domenowy.md,/app/campaigns/rekomendacje-kontekst-domenowy,M05,runtime-screen,yes
31.08,Warianty kampanii,08-kampanie-platne/31-08-warianty-kampanii.md,,M05,storybook-variants,no
32.01,Przegląd,09-zamowienia/32-01-przeglad.md,/app/orders/przeglad,M06,runtime-screen,yes
32.02,Lista,09-zamowienia/32-02-lista.md,/app/orders/lista,M06,runtime-screen,yes
32.03,Szczegóły,09-zamowienia/32-03-szczegoly.md,/app/orders/szczegoly/:resourceId,M06,runtime-screen,yes
32.04,Oś zdarzeń,09-zamowienia/32-04-os-zdarzen.md,/app/orders/os-zdarzen,M06,runtime-screen,yes
32.05,Porównanie źródeł,09-zamowienia/32-05-porownanie-zrodel.md,/app/orders/porownanie-zrodel,M06,runtime-screen,yes
32.06,Rekoncyliacja — skrót,09-zamowienia/32-06-rekoncyliacja-skrot.md,/app/orders/rekoncyliacja-skrot,M06,runtime-screen,yes
32.07,Eksport,09-zamowienia/32-07-eksport.md,/app/orders/eksport,M06,runtime-screen,yes
32.08,Warianty zamówień,09-zamowienia/32-08-warianty-zamowien.md,,M06,storybook-variants,no
33.01,Przegląd,10-produkty/33-01-przeglad.md,/app/products/przeglad,M07,runtime-screen,yes
33.02,Katalog,10-produkty/33-02-katalog.md,/app/products/katalog,M07,runtime-screen,yes
33.03,Szczegóły,10-produkty/33-03-szczegoly.md,/app/products/szczegoly/:resourceId,M07,runtime-screen,yes
