operation_id,domain,kind,method,bff_route,service_route,capability,request_schema,response_schema,status,owner
access.bootstrap,access,command,POST,/api/v1/access/bootstrap,/v1/access/bootstrap,access.write,AccessBootstrapRequest,AccessBootstrapResponse,approved-target,Artur Wiśniewski
access.resolve,access,command,POST,/api/v1/access/resolve,/v1/access/resolve,access.read,AccessResolveRequest,AccessResolveResponse,approved-target,Artur Wiśniewski
access.tenant.select,access,command,POST,/api/v1/access/tenant/select,/v1/access/tenant/select,access.write,AccessTenantSelectRequest,AccessTenantSelectResponse,approved-target,Artur Wiśniewski
access.tenants.list,access,query,GET,/api/v1/access/tenants/list,/v1/access/tenants/list,access.read,AccessTenantsListRequest,AccessTenantsListResponse,approved-target,Artur Wiśniewski
access.workspace.select,access,command,POST,/api/v1/access/workspace/select,/v1/access/workspace/select,workspace.write,AccessWorkspaceSelectRequest,AccessWorkspaceSelectResponse,approved-target,Artur Wiśniewski
access.workspaces.list,access,query,GET,/api/v1/access/workspaces/list,/v1/access/workspaces/list,access.read,AccessWorkspacesListRequest,AccessWorkspacesListResponse,approved-target,Artur Wiśniewski
actions.read,actions,query,GET,/api/v1/actions/read,/v1/actions/read,actions.read,ActionsReadRequest,ActionsReadResponse,approved-target,Artur Wiśniewski
actions.write,actions,command,POST,/api/v1/actions/write,/v1/actions/write,actions.write,ActionsWriteRequest,ActionsWriteResponse,approved-target,Artur Wiśniewski
auth.access.blocked.read,auth,query,GET,/api/v1/auth/access/blocked,/v1/auth/access/blocked,auth.read,AuthAccessBlockedReadRequest,AuthAccessBlockedReadResponse,approved-target,Artur Wiśniewski
auth.access.resolve,auth,command,POST,/api/v1/auth/access/resolve,/v1/auth/access/resolve,auth.write,AuthAccessResolveRequest,AuthAccessResolveResponse,approved-target,Artur Wiśniewski
auth.account.link,auth,command,POST,/api/v1/auth/account/link,/v1/auth/account/link,auth.write,AuthAccountLinkRequest,AuthAccountLinkResponse,approved-target,Artur Wiśniewski
auth.consents.accept,auth,command,POST,/api/v1/auth/consents,/v1/auth/consents,auth.write,AuthConsentsAcceptRequest,AuthConsentsAcceptResponse,approved-target,Artur Wiśniewski
auth.email.resend,auth,command,POST,/api/v1/auth/email/resend,/v1/auth/email/resend,auth.write,AuthEmailResendRequest,AuthEmailResendResponse,approved-target,Artur Wiśniewski
auth.email.verify,auth,command,POST,/api/v1/auth/email/verify,/v1/auth/email/verify,auth.write,AuthEmailVerifyRequest,AuthEmailVerifyResponse,approved-target,Artur Wiśniewski
auth.login,auth,command,POST,/api/v1/auth/login,/v1/auth/login,auth.write,AuthLoginRequest,AuthLoginResponse,approved-target,Artur Wiśniewski
auth.logout,auth,command,POST,/api/v1/auth/logout,/v1/auth/logout,auth.write,AuthLogoutRequest,AuthLogoutResponse,approved-target,Artur Wiśniewski
auth.mfa.confirm,auth,command,POST,/api/v1/auth/mfa/confirm,/v1/auth/mfa/confirm,auth.write,AuthMfaConfirmRequest,AuthMfaConfirmResponse,approved-target,Artur Wiśniewski
auth.mfa.enroll,auth,command,POST,/api/v1/auth/mfa/enroll,/v1/auth/mfa/enroll,auth.write,AuthMfaEnrollRequest,AuthMfaEnrollResponse,approved-target,Artur Wiśniewski
auth.mfa.verify,auth,command,POST,/api/v1/auth/mfa/verify,/v1/auth/mfa/verify,auth.write,AuthMfaVerifyRequest,AuthMfaVerifyResponse,approved-target,Artur Wiśniewski
auth.oauth.callback,auth,callback,POST,/api/v1/auth/oauth/callback,/v1/auth/oauth/callback,auth.write,AuthOauthCallbackRequest,AuthOauthCallbackResponse,approved-target,Artur Wiśniewski
auth.oauth.start,auth,command,POST,/api/v1/auth/oauth/start,/v1/auth/oauth/start,auth.write,AuthOauthStartRequest,AuthOauthStartResponse,approved-target,Artur Wiśniewski
auth.password.recovery.request,auth,command,POST,/api/v1/auth/password/recovery/request,/v1/auth/password/recovery/request,auth.write,AuthPasswordRecoveryRequestRequest,AuthPasswordRecoveryRequestResponse,approved-target,Artur Wiśniewski
auth.password.recovery.token.validate,auth,callback,POST,/api/v1/auth/password/recovery/token/validate,/v1/auth/password/recovery/token/validate,auth.read,AuthPasswordRecoveryTokenValidateRequest,AuthPasswordRecoveryTokenValidateResponse,approved-target,Artur Wiśniewski
