operation_id,domain,kind,method,bff_route,service_route,capability,request_schema,response_schema,contract_file,status,canonical_operation_id,alias_of,screen_id,screen_name,description,owner
access.bootstrap,access,command,POST,/api/v1/access/bootstrap,/v1/access/bootstrap,access.write,AccessBootstrapRequest,AccessBootstrapResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,access.bootstrap,,,,bootstrap po zakończeniu Auth,Artur Wiśniewski
access.resolve,access,command,POST,/api/v1/access/resolve,/v1/access/resolve,access.read,AccessResolveRequest,AccessResolveResponse,25-kontrakty-domenowe-i-api/access.md,approved-target,access.resolve,,,,rozwiązanie kontekstu tenant/workspace,Artur Wiśniewski
access.tenant.select,access,command,POST,/api/v1/access/tenant/select,/v1/access/tenant/select,access.write,AccessTenantSelectRequest,AccessTenantSelectResponse,25-kontrakty-domenowe-i-api/access.md,approved-target,access.tenant.select,,,,wybór organizacji lub tenanta,Artur Wiśniewski
access.tenants.list,access,query,GET,/api/v1/access/tenants/list,/v1/access/tenants/list,access.read,AccessTenantsListRequest,AccessTenantsListResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,access.tenants.list,,,,lista dostępnych tenantów,Artur Wiśniewski
access.workspace.select,access,command,POST,/api/v1/access/workspace/select,/v1/access/workspace/select,workspace.write,AccessWorkspaceSelectRequest,AccessWorkspaceSelectResponse,25-kontrakty-domenowe-i-api/access.md,approved-target,access.workspace.select,,,,wybór workspace,Artur Wiśniewski
access.workspaces.list,access,query,GET,/api/v1/access/workspaces/list,/v1/access/workspaces/list,access.read,AccessWorkspacesListRequest,AccessWorkspacesListResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,access.workspaces.list,,,,lista dostępnych workspace,Artur Wiśniewski
actions.read,actions,query,GET,/api/v1/actions/read,/v1/actions/read,actions.read,ActionsReadRequest,ActionsReadResponse,25-kontrakty-domenowe-i-api/cross-cutting-operations.md,approved-target,actions.read,,,,bazowy odczyt domeny actions,Artur Wiśniewski
actions.write,actions,command,POST,/api/v1/actions/write,/v1/actions/write,actions.write,ActionsWriteRequest,ActionsWriteResponse,25-kontrakty-domenowe-i-api/cross-cutting-operations.md,approved-target,actions.write,,,,bazowa operacja zapisu domeny actions,Artur Wiśniewski
auth.access.blocked.read,auth,query,GET,/api/v1/auth/access/blocked,/v1/auth/access/blocked,auth.read,AuthAccessBlockedReadRequest,AuthAccessBlockedReadResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.access.blocked.read,,,,odczyt blokady dostępu,Artur Wiśniewski
auth.access.resolve,auth,command,POST,/api/v1/auth/access/resolve,/v1/auth/access/resolve,auth.write,AuthAccessResolveRequest,AuthAccessResolveResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.access.resolve,,,,alias rozwiązywania dostępu w Auth,Artur Wiśniewski
auth.account.link,auth,command,POST,/api/v1/auth/account/link,/v1/auth/account/link,auth.write,AuthAccountLinkRequest,AuthAccountLinkResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.account.link,,,,powiązanie istniejącego konta z zaproszeniem,Artur Wiśniewski
auth.consents.accept,auth,command,POST,/api/v1/auth/consents,/v1/auth/consents,auth.write,AuthConsentsAcceptRequest,AuthConsentsAcceptResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.consents.accept,,,,Akceptacja wersjonowanych zgód rejestracyjnych,Artur Wiśniewski
auth.email.resend,auth,command,POST,/api/v1/auth/email/resend,/v1/auth/email/resend,auth.write,AuthEmailResendRequest,AuthEmailResendResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.email.resend,,,,ponowne wysłanie e-maila,Artur Wiśniewski
auth.email.verify,auth,command,POST,/api/v1/auth/email/verify,/v1/auth/email/verify,auth.write,AuthEmailVerifyRequest,AuthEmailVerifyResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.email.verify,,,,weryfikacja e-mail,Artur Wiśniewski
auth.login,auth,command,POST,/api/v1/auth/login,/v1/auth/login,auth.write,AuthLoginRequest,AuthLoginResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.login,,,,logowanie użytkownika,Artur Wiśniewski
auth.logout,auth,command,POST,/api/v1/auth/logout,/v1/auth/logout,auth.write,AuthLogoutRequest,AuthLogoutResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.logout,,,,wylogowanie,Artur Wiśniewski
auth.mfa.confirm,auth,command,POST,/api/v1/auth/mfa/confirm,/v1/auth/mfa/confirm,auth.write,AuthMfaConfirmRequest,AuthMfaConfirmResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.mfa.confirm,,,,potwierdzenie konfiguracji MFA,Artur Wiśniewski
auth.mfa.enroll,auth,command,POST,/api/v1/auth/mfa/enroll,/v1/auth/mfa/enroll,auth.write,AuthMfaEnrollRequest,AuthMfaEnrollResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.mfa.enroll,,,,rozpoczęcie konfiguracji MFA,Artur Wiśniewski
auth.mfa.verify,auth,command,POST,/api/v1/auth/mfa/verify,/v1/auth/mfa/verify,auth.write,AuthMfaVerifyRequest,AuthMfaVerifyResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.mfa.verify,,,,weryfikacja MFA,Artur Wiśniewski
auth.oauth.callback,auth,callback,POST,/api/v1/auth/oauth/callback,/v1/auth/oauth/callback,auth.write,AuthOauthCallbackRequest,AuthOauthCallbackResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.oauth.callback,,,,callback OAuth,Artur Wiśniewski
auth.oauth.start,auth,command,POST,/api/v1/auth/oauth/start,/v1/auth/oauth/start,auth.write,AuthOauthStartRequest,AuthOauthStartResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.oauth.start,,,,rozpoczęcie OAuth,Artur Wiśniewski
auth.password.recovery.request,auth,command,POST,/api/v1/auth/password/recovery/request,/v1/auth/password/recovery/request,auth.write,AuthPasswordRecoveryRequestRequest,AuthPasswordRecoveryRequestResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.password.recovery.request,,,,prośba o odzyskanie hasła,Artur Wiśniewski
auth.password.recovery.token.validate,auth,callback,POST,/api/v1/auth/password/recovery/token/validate,/v1/auth/password/recovery/token/validate,auth.read,AuthPasswordRecoveryTokenValidateRequest,AuthPasswordRecoveryTokenValidateResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.password.recovery.token.validate,,,,Walidacja jednorazowego tokenu resetu hasła,Artur Wiśniewski
auth.password.reset,auth,command,POST,/api/v1/auth/password/reset,/v1/auth/password/reset,auth.write,AuthPasswordResetRequest,AuthPasswordResetResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.password.reset,,,,ustawienie nowego hasła,Artur Wiśniewski
auth.reauthenticate,auth,command,POST,/api/v1/auth/reauthenticate,/v1/auth/reauthenticate,auth.write,AuthReauthenticateRequest,AuthReauthenticateResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.reauthenticate,,,,ponowne uwierzytelnienie,Artur Wiśniewski
auth.register.email,auth,command,POST,/api/v1/auth/register/email,/v1/auth/register/email,auth.write,AuthRegisterEmailRequest,AuthRegisterEmailResponse,25-kontrakty-domenowe-i-api/identity-auth-api.md,approved-target,auth.register.email,,,,rejestracja konta przez e-mail,Artur Wiśniewski
