schema_name,operation_id,direction,definition_file,root_type,required_fields,status,owner,version
AccessBootstrapRequest,access.bootstrap,request,contracts/api-schemas.json,AccessBootstrapRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AccessBootstrapResponse,access.bootstrap,response,contracts/api-schemas.json,AccessBootstrapResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AccessResolveRequest,access.resolve,request,contracts/api-schemas.json,AccessResolveRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AccessResolveResponse,access.resolve,response,contracts/api-schemas.json,AccessResolveResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AccessTenantSelectRequest,access.tenant.select,request,contracts/api-schemas.json,AccessTenantSelectRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AccessTenantSelectResponse,access.tenant.select,response,contracts/api-schemas.json,AccessTenantSelectResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AccessTenantsListRequest,access.tenants.list,request,contracts/api-schemas.json,AccessTenantsListRequest,context,approved-target,Artur Wiśniewski,1.0
AccessTenantsListResponse,access.tenants.list,response,contracts/api-schemas.json,AccessTenantsListResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AccessWorkspaceSelectRequest,access.workspace.select,request,contracts/api-schemas.json,AccessWorkspaceSelectRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AccessWorkspaceSelectResponse,access.workspace.select,response,contracts/api-schemas.json,AccessWorkspaceSelectResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AccessWorkspacesListRequest,access.workspaces.list,request,contracts/api-schemas.json,AccessWorkspacesListRequest,context,approved-target,Artur Wiśniewski,1.0
AccessWorkspacesListResponse,access.workspaces.list,response,contracts/api-schemas.json,AccessWorkspacesListResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
ActionsReadRequest,actions.read,request,contracts/api-schemas.json,ActionsReadRequest,context,approved-target,Artur Wiśniewski,1.0
ActionsReadResponse,actions.read,response,contracts/api-schemas.json,ActionsReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
ActionsWriteRequest,actions.write,request,contracts/api-schemas.json,ActionsWriteRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
ActionsWriteResponse,actions.write,response,contracts/api-schemas.json,ActionsWriteResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthAccessBlockedReadRequest,auth.access.blocked.read,request,contracts/api-schemas.json,AuthAccessBlockedReadRequest,context,approved-target,Artur Wiśniewski,1.0
AuthAccessBlockedReadResponse,auth.access.blocked.read,response,contracts/api-schemas.json,AuthAccessBlockedReadResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
AuthAccessResolveRequest,auth.access.resolve,request,contracts/api-schemas.json,AuthAccessResolveRequest,context|metadata|input,approved-target,Artur Wiśniewski,1.0
AuthAccessResolveResponse,auth.access.resolve,response,contracts/api-schemas.json,AuthAccessResolveResponse,operationId|correlationId|generatedAt|data|warnings,approved-target,Artur Wiśniewski,1.0
