capability,used_by_count,documents
access.read,1,25-kontrakty-domenowe-i-api/identity-auth-api.md
access.write,1,25-kontrakty-domenowe-i-api/access.md
analytics.read,1,25-kontrakty-domenowe-i-api/readiness-provenance.md
auth.read,1,25-kontrakty-domenowe-i-api/identity-auth-api.md
auth.write,1,25-kontrakty-domenowe-i-api/identity-auth-api.md
billing.read,11,17-subskrypcja-i-platnosci/README.md | 25-kontrakty-domenowe-i-api/billing.md
billing.write,11,17-subskrypcja-i-platnosci/README.md | 25-kontrakty-domenowe-i-api/billing.md
campaigns.read,9,08-kampanie-platne/README.md | 25-kontrakty-domenowe-i-api/campaigns.md
campaigns.write,9,08-kampanie-platne/README.md | 25-kontrakty-domenowe-i-api/campaigns.md
command-center.read,15,07-centrum-dowodzenia/README.md | 25-kontrakty-domenowe-i-api/command-center.md
command-center.write,15,07-centrum-dowodzenia/README.md | 25-kontrakty-domenowe-i-api/command-center.md
company.read,1,25-kontrakty-domenowe-i-api/identity-auth-api.md
company.write,1,25-kontrakty-domenowe-i-api/identity-auth-api.md
customers.read,9,11-klienci/README.md | 25-kontrakty-domenowe-i-api/customers.md
customers.write,9,11-klienci/README.md | 25-kontrakty-domenowe-i-api/customers.md
data-quality.read,11,14-jakosc-danych-i-integralnosc/README.md | 25-kontrakty-domenowe-i-api/data-quality.md
data-quality.write,11,14-jakosc-danych-i-integralnosc/README.md | 25-kontrakty-domenowe-i-api/data-quality.md
decisions.read,11,18-wsparcie-marketingowe-decyzje-dzialania/README.md | 25-kontrakty-domenowe-i-api/decisions.md
decisions.write,11,18-wsparcie-marketingowe-decyzje-dzialania/README.md | 25-kontrakty-domenowe-i-api/decisions.md
help.read,7,19-centrum-pomocy/README.md | 25-kontrakty-domenowe-i-api/help.md
help.write,7,19-centrum-pomocy/README.md | 25-kontrakty-domenowe-i-api/help.md
integrations.read,11,13-integracje-i-synchronizacja/README.md | 25-kontrakty-domenowe-i-api/integrations.md
integrations.write,11,13-integracje-i-synchronizacja/README.md | 25-kontrakty-domenowe-i-api/integrations.md
invitation.read,1,25-kontrakty-domenowe-i-api/identity-auth-api.md
invitation.write,1,25-kontrakty-domenowe-i-api/identity-auth-api.md
orders.read,9,09-zamowienia/README.md | 25-kontrakty-domenowe-i-api/orders.md
orders.write,9,09-zamowienia/README.md | 25-kontrakty-domenowe-i-api/orders.md
papa.read,18,15-papa-asystent-i-laboratorium-ai/README.md | 25-kontrakty-domenowe-i-api/papa.md
papa.write,18,15-papa-asystent-i-laboratorium-ai/README.md | 25-kontrakty-domenowe-i-api/papa.md
pii.read,1,25-kontrakty-domenowe-i-api/identity-access.md
products.read,10,10-produkty/README.md | 25-kontrakty-domenowe-i-api/products.md
products.write,10,10-produkty/README.md | 25-kontrakty-domenowe-i-api/products.md
readiness.read,1,25-kontrakty-domenowe-i-api/readiness-provenance.md
settings.read,11,16-ustawienia-zespol-bezpieczenstwo/README.md | 25-kontrakty-domenowe-i-api/settings.md
settings.write,11,16-ustawienia-zespol-bezpieczenstwo/README.md | 25-kontrakty-domenowe-i-api/settings.md
traffic.read,10,12-ruch-i-lejek/README.md | 25-kontrakty-domenowe-i-api/traffic.md
traffic.write,10,12-ruch-i-lejek/README.md | 25-kontrakty-domenowe-i-api/traffic.md
workspace.read,2,25-kontrakty-domenowe-i-api/identity-auth-api.md | 25-kontrakty-domenowe-i-api/identity-access.md
workspace.write,2,25-kontrakty-domenowe-i-api/identity-auth-api.md | 25-kontrakty-domenowe-i-api/identity-access.md
