component,component_document,contract_file,props,event,status,owner,version
AlertDialog,04-komponenty-bazowe/komponenty/alertdialog.md,contracts/components/alertdialog.ts,AlertDialogProps,AlertDialogEvent,canonical,Artur Wiśniewski,1.0
ApprovalPanel,04-komponenty-bazowe/komponenty/approvalpanel.md,contracts/components/approvalpanel.ts,ApprovalPanelProps,ApprovalPanelEvent,canonical,Artur Wiśniewski,1.0
AssistantComposer,04-komponenty-bazowe/komponenty/assistantcomposer.md,contracts/components/assistantcomposer.ts,AssistantComposerProps,AssistantComposerEvent,canonical,Artur Wiśniewski,1.0
AttributionComparison,04-komponenty-domenowe/attribution-comparison.md,contracts/components/attributioncomparison.ts,AttributionComparisonProps,AttributionComparisonEvent,canonical,Artur Wiśniewski,1.0
BackgroundOperationItem,04-komponenty-bazowe/komponenty/backgroundoperationitem.md,contracts/components/backgroundoperationitem.ts,BackgroundOperationItemProps,BackgroundOperationItemEvent,canonical,Artur Wiśniewski,1.0
BottomSheet,04-komponenty-bazowe/komponenty/bottomsheet.md,contracts/components/bottomsheet.ts,BottomSheetProps,BottomSheetEvent,canonical,Artur Wiśniewski,1.0
BrandLockup,04-komponenty-bazowe/komponenty/brandlockup.md,contracts/components/brandlockup.ts,BrandLockupProps,BrandLockupEvent,canonical,Artur Wiśniewski,1.0
BrandMark,04-komponenty-bazowe/komponenty/brandmark.md,contracts/components/brandmark.ts,BrandMarkProps,BrandMarkEvent,canonical,Artur Wiśniewski,1.0
Breadcrumbs,04-komponenty-bazowe/komponenty/breadcrumbs.md,contracts/components/breadcrumbs.ts,BreadcrumbsProps,BreadcrumbsEvent,canonical,Artur Wiśniewski,1.0
BudgetPacing,04-komponenty-domenowe/budget-pacing.md,contracts/components/budgetpacing.ts,BudgetPacingProps,BudgetPacingEvent,canonical,Artur Wiśniewski,1.0
BulkActionBar,04-komponenty-bazowe/komponenty/bulkactionbar.md,contracts/components/bulkactionbar.ts,BulkActionBarProps,BulkActionBarEvent,canonical,Artur Wiśniewski,1.0
Button,04-komponenty-bazowe/komponenty/button.md,contracts/components/button.ts,ButtonProps,ButtonEvent,canonical,Artur Wiśniewski,1.0
ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,contracts/components/chartframe.ts,ChartFrameProps,ChartFrameEvent,canonical,Artur Wiśniewski,1.0
Checkbox,04-komponenty-bazowe/komponenty/checkbox.md,contracts/components/checkbox.ts,CheckboxProps,CheckboxEvent,canonical,Artur Wiśniewski,1.0
CohortMatrix,04-komponenty-domenowe/cohort-matrix.md,contracts/components/cohortmatrix.ts,CohortMatrixProps,CohortMatrixEvent,canonical,Artur Wiśniewski,1.0
ColumnPicker,04-komponenty-bazowe/komponenty/columnpicker.md,contracts/components/columnpicker.ts,ColumnPickerProps,ColumnPickerEvent,canonical,Artur Wiśniewski,1.0
Combobox,04-komponenty-bazowe/komponenty/combobox.md,contracts/components/combobox.ts,ComboboxProps,ComboboxEvent,canonical,Artur Wiśniewski,1.0
ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,contracts/components/comparisonchart.ts,ComparisonChartProps,ComparisonChartEvent,canonical,Artur Wiśniewski,1.0
CorrelationChart,05-wykresy-i-wizualizacje/komponenty/correlationchart.md,contracts/components/correlationchart.ts,CorrelationChartProps,CorrelationChartEvent,canonical,Artur Wiśniewski,1.0
CustomerSegments,04-komponenty-domenowe/customer-segments.md,contracts/components/customersegments.ts,CustomerSegmentsProps,CustomerSegmentsEvent,canonical,Artur Wiśniewski,1.0
DataStatusBanner,04-komponenty-domenowe/data-status-banner.md,contracts/components/datastatusbanner.ts,DataStatusBannerProps,DataStatusBannerEvent,canonical,Artur Wiśniewski,1.0
DataTable,04-komponenty-bazowe/komponenty/datatable.md,contracts/components/datatable.ts,DataTableProps,DataTableEvent,canonical,Artur Wiśniewski,1.0
DateRangePicker,04-komponenty-bazowe/komponenty/daterangepicker.md,contracts/components/daterangepicker.ts,DateRangePickerProps,DateRangePickerEvent,canonical,Artur Wiśniewski,1.0
DecisionCard,04-komponenty-bazowe/komponenty/decisioncard.md,contracts/components/decisioncard.ts,DecisionCardProps,DecisionCardEvent,canonical,Artur Wiśniewski,1.0
DecisionQueue,04-komponenty-domenowe/decision-queue.md,contracts/components/decisionqueue.ts,DecisionQueueProps,DecisionQueueEvent,canonical,Artur Wiśniewski,1.0
DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,contracts/components/detailpanel.ts,DetailPanelProps,DetailPanelEvent,canonical,Artur Wiśniewski,1.0
Dialog,04-komponenty-bazowe/komponenty/dialog.md,contracts/components/dialog.ts,DialogProps,DialogEvent,canonical,Artur Wiśniewski,1.0
Drawer,04-komponenty-bazowe/komponenty/drawer.md,contracts/components/drawer.ts,DrawerProps,DrawerEvent,canonical,Artur Wiśniewski,1.0
EmptyState,04-komponenty-bazowe/komponenty/emptystate.md,contracts/components/emptystate.ts,EmptyStateProps,EmptyStateEvent,canonical,Artur Wiśniewski,1.0
ErrorState,04-komponenty-bazowe/komponenty/errorstate.md,contracts/components/errorstate.ts,ErrorStateProps,ErrorStateEvent,canonical,Artur Wiśniewski,1.0
EvidencePanel,04-komponenty-domenowe/evidence-panel.md,contracts/components/evidencepanel.ts,EvidencePanelProps,EvidencePanelEvent,canonical,Artur Wiśniewski,1.0
FileInput,04-komponenty-bazowe/komponenty/fileinput.md,contracts/components/fileinput.ts,FileInputProps,FileInputEvent,canonical,Artur Wiśniewski,1.0
FilterBar,04-komponenty-bazowe/komponenty/filterbar.md,contracts/components/filterbar.ts,FilterBarProps,FilterBarEvent,canonical,Artur Wiśniewski,1.0
ForecastChart,05-wykresy-i-wizualizacje/komponenty/forecastchart.md,contracts/components/forecastchart.ts,ForecastChartProps,ForecastChartEvent,canonical,Artur Wiśniewski,1.0
FunnelChart,05-wykresy-i-wizualizacje/komponenty/funnelchart.md,contracts/components/funnelchart.ts,FunnelChartProps,FunnelChartEvent,canonical,Artur Wiśniewski,1.0
FunnelStep,04-komponenty-domenowe/funnel-step.md,contracts/components/funnelstep.ts,FunnelStepProps,FunnelStepEvent,canonical,Artur Wiśniewski,1.0
IconButton,04-komponenty-bazowe/komponenty/iconbutton.md,contracts/components/iconbutton.ts,IconButtonProps,IconButtonEvent,canonical,Artur Wiśniewski,1.0
InlineNotice,04-komponenty-bazowe/komponenty/inlinenotice.md,contracts/components/inlinenotice.ts,InlineNoticeProps,InlineNoticeEvent,canonical,Artur Wiśniewski,1.0
LineageGraph,04-komponenty-domenowe/lineage-graph.md,contracts/components/lineagegraph.ts,LineageGraphProps,LineageGraphEvent,canonical,Artur Wiśniewski,1.0
Menu,04-komponenty-bazowe/komponenty/menu.md,contracts/components/menu.ts,MenuProps,MenuEvent,canonical,Artur Wiśniewski,1.0
MetricCard,05-wykresy-i-wizualizacje/komponenty/metriccard.md,contracts/components/metriccard.ts,MetricCardProps,MetricCardEvent,canonical,Artur Wiśniewski,1.0
MorningBrief,04-komponenty-domenowe/morning-brief.md,contracts/components/morningbrief.ts,MorningBriefProps,MorningBriefEvent,canonical,Artur Wiśniewski,1.0
NipField,04-komponenty-bazowe/komponenty/nipfield.md,contracts/components/nipfield.ts,NipFieldProps,NipFieldEvent,canonical,Artur Wiśniewski,1.0
NumberField,04-komponenty-bazowe/komponenty/numberfield.md,contracts/components/numberfield.ts,NumberFieldProps,NumberFieldEvent,canonical,Artur Wiśniewski,1.0
PageHeader,04-komponenty-bazowe/komponenty/pageheader.md,contracts/components/pageheader.ts,PageHeaderProps,PageHeaderEvent,canonical,Artur Wiśniewski,1.0
Pagination,04-komponenty-bazowe/komponenty/pagination.md,contracts/components/pagination.ts,PaginationProps,PaginationEvent,canonical,Artur Wiśniewski,1.0
PaginationNav,04-komponenty-bazowe/komponenty/paginationnav.md,contracts/components/paginationnav.ts,PaginationNavProps,PaginationNavEvent,canonical,Artur Wiśniewski,1.0
PairingFlow,04-komponenty-domenowe/pairing-flow.md,contracts/components/pairingflow.ts,PairingFlowProps,PairingFlowEvent,canonical,Artur Wiśniewski,1.0
Panel,04-komponenty-bazowe/komponenty/panel.md,contracts/components/panel.ts,PanelProps,PanelEvent,canonical,Artur Wiśniewski,1.0
PasswordField,04-komponenty-bazowe/komponenty/passwordfield.md,contracts/components/passwordfield.ts,PasswordFieldProps,PasswordFieldEvent,canonical,Artur Wiśniewski,1.0
PlanPerformance,04-komponenty-domenowe/plan-performance.md,contracts/components/planperformance.ts,PlanPerformanceProps,PlanPerformanceEvent,canonical,Artur Wiśniewski,1.0
Popover,04-komponenty-bazowe/komponenty/popover.md,contracts/components/popover.ts,PopoverProps,PopoverEvent,canonical,Artur Wiśniewski,1.0
ProgressIndicator,04-komponenty-bazowe/komponenty/progressindicator.md,contracts/components/progressindicator.ts,ProgressIndicatorProps,ProgressIndicatorEvent,canonical,Artur Wiśniewski,1.0
RadioGroup,04-komponenty-bazowe/komponenty/radiogroup.md,contracts/components/radiogroup.ts,RadioGroupProps,RadioGroupEvent,canonical,Artur Wiśniewski,1.0
RecommendationCard,04-komponenty-domenowe/recommendation-card.md,contracts/components/recommendationcard.ts,RecommendationCardProps,RecommendationCardEvent,canonical,Artur Wiśniewski,1.0
ReconciliationPanel,04-komponenty-domenowe/reconciliation-panel.md,contracts/components/reconciliationpanel.ts,ReconciliationPanelProps,ReconciliationPanelEvent,canonical,Artur Wiśniewski,1.0
ResultDrivers,04-komponenty-domenowe/result-drivers.md,contracts/components/resultdrivers.ts,ResultDriversProps,ResultDriversEvent,canonical,Artur Wiśniewski,1.0
SalesFunnel,04-komponenty-domenowe/sales-funnel.md,contracts/components/salesfunnel.ts,SalesFunnelProps,SalesFunnelEvent,canonical,Artur Wiśniewski,1.0
SalesSources,04-komponenty-domenowe/sales-sources.md,contracts/components/salessources.ts,SalesSourcesProps,SalesSourcesEvent,canonical,Artur Wiśniewski,1.0
SearchField,04-komponenty-bazowe/komponenty/searchfield.md,contracts/components/searchfield.ts,SearchFieldProps,SearchFieldEvent,canonical,Artur Wiśniewski,1.0
SectionIntro,04-komponenty-bazowe/komponenty/sectionintro.md,contracts/components/sectionintro.ts,SectionIntroProps,SectionIntroEvent,canonical,Artur Wiśniewski,1.0
SectionNavigation,04-komponenty-bazowe/komponenty/sectionnavigation.md,contracts/components/sectionnavigation.ts,SectionNavigationProps,SectionNavigationEvent,canonical,Artur Wiśniewski,1.0
Select,04-komponenty-bazowe/komponenty/select.md,contracts/components/select.ts,SelectProps,SelectEvent,canonical,Artur Wiśniewski,1.0
ShareChart,05-wykresy-i-wizualizacje/komponenty/sharechart.md,contracts/components/sharechart.ts,ShareChartProps,ShareChartEvent,canonical,Artur Wiśniewski,1.0
Skeleton,04-komponenty-bazowe/komponenty/skeleton.md,contracts/components/skeleton.ts,SkeletonProps,SkeletonEvent,canonical,Artur Wiśniewski,1.0
Spinner,04-komponenty-bazowe/komponenty/spinner.md,contracts/components/spinner.ts,SpinnerProps,SpinnerEvent,canonical,Artur Wiśniewski,1.0
StatusBadge,04-komponenty-bazowe/komponenty/statusbadge.md,contracts/components/statusbadge.ts,StatusBadgeProps,StatusBadgeEvent,canonical,Artur Wiśniewski,1.0
Switch,04-komponenty-bazowe/komponenty/switch.md,contracts/components/switch.ts,SwitchProps,SwitchEvent,canonical,Artur Wiśniewski,1.0
SyncTimeline,04-komponenty-domenowe/sync-timeline.md,contracts/components/synctimeline.ts,SyncTimelineProps,SyncTimelineEvent,canonical,Artur Wiśniewski,1.0
Tabs,04-komponenty-bazowe/komponenty/tabs.md,contracts/components/tabs.ts,TabsProps,TabsEvent,canonical,Artur Wiśniewski,1.0
TextAction,04-komponenty-bazowe/komponenty/textaction.md,contracts/components/textaction.ts,TextActionProps,TextActionEvent,canonical,Artur Wiśniewski,1.0
TextArea,04-komponenty-bazowe/komponenty/textarea.md,contracts/components/textarea.ts,TextAreaProps,TextAreaEvent,canonical,Artur Wiśniewski,1.0
TextField,04-komponenty-bazowe/komponenty/textfield.md,contracts/components/textfield.ts,TextFieldProps,TextFieldEvent,canonical,Artur Wiśniewski,1.0
Toast,04-komponenty-bazowe/komponenty/toast.md,contracts/components/toast.ts,ToastProps,ToastEvent,canonical,Artur Wiśniewski,1.0
Tooltip,04-komponenty-bazowe/komponenty/tooltip.md,contracts/components/tooltip.ts,TooltipProps,TooltipEvent,canonical,Artur Wiśniewski,1.0
