component,component_document,consumer_screen_ids,consumer_count,coverage_status,catalog_rationale,owner,version
AlertDialog,04-komponenty-bazowe/komponenty/alertdialog.md,20.10|31.07|50.12|50.15|60.04|60.08,6,used,,Artur Wiśniewski,1.0
ApprovalPanel,04-komponenty-bazowe/komponenty/approvalpanel.md,30.02|31.07|50.12|50.15|60.04|60.08,6,used,,Artur Wiśniewski,1.0
AssistantComposer,04-komponenty-bazowe/komponenty/assistantcomposer.md,30.01,1,used,,Artur Wiśniewski,1.0
AttributionComparison,04-komponenty-domenowe/attribution-comparison.md,31.04,1,used,,Artur Wiśniewski,1.0
BackgroundOperationItem,04-komponenty-bazowe/komponenty/backgroundoperationitem.md,20.10,1,used,,Artur Wiśniewski,1.0
BottomSheet,04-komponenty-bazowe/komponenty/bottomsheet.md,20.10,1,used,,Artur Wiśniewski,1.0
BrandLockup,04-komponenty-bazowe/komponenty/brandlockup.md,30.01,1,used,,Artur Wiśniewski,1.0
BrandMark,04-komponenty-bazowe/komponenty/brandmark.md,30.01,1,used,,Artur Wiśniewski,1.0
Breadcrumbs,04-komponenty-bazowe/komponenty/breadcrumbs.md,20.01,1,used,,Artur Wiśniewski,1.0
BudgetPacing,04-komponenty-domenowe/budget-pacing.md,31.05,1,used,,Artur Wiśniewski,1.0
BulkActionBar,04-komponenty-bazowe/komponenty/bulkactionbar.md,20.01,1,used,,Artur Wiśniewski,1.0
Button,04-komponenty-bazowe/komponenty/button.md,30.01|30.02|30.03|30.04|30.05|30.06|30.07|30.08|30.09|30.10|30.11|30.12|30.13|30.14|31.01|31.02|31.03|31.04|31.05|31.06|31.07|31.08|32.01|32.02|32.03|32.04|32.05|32.06|32.07|32.08|33.01|33.02|33.03|33.04|33.05|33.06|33.07|33.08|33.09|34.01|34.02|34.03|34.04|34.05|34.06|34.07|34.08|35.01|35.02|35.03|35.04|35.05|35.06|35.07|35.08|35.09|40.01|40.02|40.03|40.04|40.05|40.06|40.07|40.08|40.09|40.10|41.01|41.02|41.03|41.04|41.05|41.06|41.07|41.08|41.09|41.10|50.01|50.02|50.03|50.04|50.05|50.06|50.07|50.08|50.09|50.10|50.11|50.12|50.13|50.14|50.15|50.16|50.17|60.01|60.02|60.03|60.04|60.05|60.06|60.07|60.08|60.09|60.10|70.01|70.02|70.03|70.04|70.05|70.06|70.07|70.08|70.09|70.10|80.01|80.02|80.03|80.04|80.05|80.06|80.07|80.08|80.09|80.10|85.01|85.02|85.03|85.04|85.05|85.06,129,used,,Artur Wiśniewski,1.0
ChartFrame,05-wykresy-i-wizualizacje/komponenty/chartframe.md,30.02|30.03|30.04|30.11|30.13|30.14|31.01|31.02|31.03|31.05|31.07|32.01|33.01|33.06|33.07|33.08|34.01|34.02|34.07|35.01|35.05|40.01|40.08|41.07|50.01|50.03|50.04|50.09|50.10|50.14|70.01|70.02|70.03|70.08|70.09|80.02|80.03|80.07,38,used,,Artur Wiśniewski,1.0
Checkbox,04-komponenty-bazowe/komponenty/checkbox.md,25.02|30.03|30.10|30.14|32.04|33.04|33.08|35.05|35.07|40.02|40.07|40.08|41.08|60.02|70.03|70.05|70.08|85.05,18,used,,Artur Wiśniewski,1.0
CohortMatrix,04-komponenty-domenowe/cohort-matrix.md,34.03,1,used,,Artur Wiśniewski,1.0
ColumnPicker,04-komponenty-bazowe/komponenty/columnpicker.md,20.01,1,used,,Artur Wiśniewski,1.0
Combobox,04-komponenty-bazowe/komponenty/combobox.md,30.01,1,used,,Artur Wiśniewski,1.0
ComparisonChart,05-wykresy-i-wizualizacje/komponenty/comparisonchart.md,30.04|30.05|30.06|30.07|30.09|31.03|31.04|32.01|33.02|33.03|33.06|34.02|34.07|35.02|35.04|35.08|41.05|50.06|50.08,19,used,,Artur Wiśniewski,1.0
CorrelationChart,05-wykresy-i-wizualizacje/komponenty/correlationchart.md,30.04,1,used,,Artur Wiśniewski,1.0
CustomerSegments,04-komponenty-domenowe/customer-segments.md,34.02,1,used,,Artur Wiśniewski,1.0
DataStatusBanner,04-komponenty-domenowe/data-status-banner.md,41.01,1,used,,Artur Wiśniewski,1.0
DataTable,04-komponenty-bazowe/komponenty/datatable.md,30.01|30.02|30.07|31.02|32.02|33.02|33.07|34.06|35.01|40.01|40.04|50.08|50.15|60.02|60.03|60.06|60.07|60.09|70.04|80.04|80.06|85.03,22,used,,Artur Wiśniewski,1.0
DateRangePicker,04-komponenty-bazowe/komponenty/daterangepicker.md,30.01,1,used,,Artur Wiśniewski,1.0
DecisionCard,04-komponenty-bazowe/komponenty/decisioncard.md,30.02|30.11|30.14|31.05|31.07|34.02|34.07|35.02|40.05|50.01|50.03|50.04|50.05|50.06|50.08|50.09|50.10|50.11|50.12|50.13|50.14|50.15|50.16|50.17|80.01|80.02|80.03|80.04|80.08|80.10|85.01|85.02|85.04|85.06,34,used,,Artur Wiśniewski,1.0
DecisionQueue,04-komponenty-domenowe/decision-queue.md,80.04,1,used,,Artur Wiśniewski,1.0
DetailPanel,04-komponenty-bazowe/komponenty/detailpanel.md,30.01|30.02|30.03|30.05|30.07|30.08|30.10|30.12|30.13|31.01|31.02|31.03|31.08|32.01|32.02|32.03|33.01|33.02|33.03|33.06|33.07|33.08|33.09|34.04|34.06|35.01|35.03|35.04|35.06|40.01|40.03|40.04|40.06|50.04|50.08|50.09|50.15|60.02|60.03|60.06|60.07|60.09|70.04|80.04|80.06|80.08|85.01|85.02|85.03|85.04,50,used,,Artur Wiśniewski,1.0
Dialog,04-komponenty-bazowe/komponenty/dialog.md,20.10|30.03|30.10|30.14|32.04|33.04|33.08|35.05|35.07|40.02|40.07|40.08|41.08|60.02|70.03|70.05|70.08|85.05,18,used,,Artur Wiśniewski,1.0
Drawer,04-komponenty-bazowe/komponenty/drawer.md,20.10,1,used,,Artur Wiśniewski,1.0
