screen,component,relation
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/alertdialog.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-bazowe/komponenty/approvalpanel.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/assistantcomposer.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/backgroundoperationitem.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/bottomsheet.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/brandlockup.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/brandmark.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/breadcrumbs.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/bulkactionbar.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/button.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/checkbox.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/columnpicker.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/combobox.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/datastatusbanner.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/datatable.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/daterangepicker.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-bazowe/komponenty/decisioncard.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/detailpanel.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/dialog.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/drawer.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/emptystate.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/errorstate.md,required
07-centrum-dowodzenia/30-02-kolejka-uwagi.md,04-komponenty-bazowe/komponenty/evidencepanel.md,required
03-dostep-rejestracja-onboarding/powierzchnie-auth/auth-02-logowanie.md,04-komponenty-bazowe/komponenty/fileinput.md,required
06-powloka-produktu-i-nawigacja/20-01-appshell.md,04-komponenty-bazowe/komponenty/filterbar.md,required
07-centrum-dowodzenia/30-01-widok-glowny.md,04-komponenty-bazowe/komponenty/iconbutton.md,required
06-powloka-produktu-i-nawigacja/20-10-overlayroot-i-system-warstw.md,04-komponenty-bazowe/komponenty/inlinenotice.md,required
