event,used_by_count,documents
action_completed,129,07-centrum-dowodzenia/README.md | 08-kampanie-platne/README.md | 09-zamowienia/README.md | 10-produkty/README.md | 11-klienci/README.md | 12-ruch-i-lejek/README.md | 13-integracje-i-synchronizacja/README.md | 14-jakosc-danych-i-integralnosc/README.md | 15-papa-asystent-i-laboratorium-ai/README.md | 16-ustawienia-zespol-bezpieczenstwo/README.md | 17-subskrypcja-i-platnosci/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md | 19-centrum-pomocy/README.md
action_failed,129,07-centrum-dowodzenia/README.md | 08-kampanie-platne/README.md | 09-zamowienia/README.md | 10-produkty/README.md | 11-klienci/README.md | 12-ruch-i-lejek/README.md | 13-integracje-i-synchronizacja/README.md | 14-jakosc-danych-i-integralnosc/README.md | 15-papa-asystent-i-laboratorium-ai/README.md | 16-ustawienia-zespol-bezpieczenstwo/README.md | 17-subskrypcja-i-platnosci/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md | 19-centrum-pomocy/README.md
action_started,129,07-centrum-dowodzenia/README.md | 08-kampanie-platne/README.md | 09-zamowienia/README.md | 10-produkty/README.md | 11-klienci/README.md | 12-ruch-i-lejek/README.md | 13-integracje-i-synchronizacja/README.md | 14-jakosc-danych-i-integralnosc/README.md | 15-papa-asystent-i-laboratorium-ai/README.md | 16-ustawienia-zespol-bezpieczenstwo/README.md | 17-subskrypcja-i-platnosci/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md | 19-centrum-pomocy/README.md
artifact_bytes_downloaded,1,24-aplikacja-mobilna/README.md
attribution_comparison_action_clicked,1,04-komponenty-domenowe/attribution-comparison.md
attribution_comparison_evidence_opened,1,04-komponenty-domenowe/attribution-comparison.md
attribution_comparison_viewed,1,04-komponenty-domenowe/attribution-comparison.md
attribution_model_changed,1,04-komponenty-domenowe/attribution-comparison.md
attribution_opened,1,04-komponenty-domenowe/sales-sources.md
brief_action_started,1,04-komponenty-domenowe/morning-brief.md
brief_signal_opened,1,04-komponenty-domenowe/morning-brief.md
brief_viewed,1,04-komponenty-domenowe/morning-brief.md
budget_pacing_action_clicked,1,04-komponenty-domenowe/budget-pacing.md
budget_pacing_evidence_opened,1,04-komponenty-domenowe/budget-pacing.md
budget_pacing_viewed,1,04-komponenty-domenowe/budget-pacing.md
budget_range_changed,1,04-komponenty-domenowe/budget-pacing.md
budget_recommendation_opened,1,04-komponenty-domenowe/budget-pacing.md
cohort_matrix_action_clicked,1,04-komponenty-domenowe/cohort-matrix.md
cohort_matrix_evidence_opened,1,04-komponenty-domenowe/cohort-matrix.md
cohort_matrix_viewed,1,04-komponenty-domenowe/cohort-matrix.md
cohort_opened,1,04-komponenty-domenowe/customer-segments.md
cohort_period_changed,1,04-komponenty-domenowe/cohort-matrix.md
cohort_selected,1,04-komponenty-domenowe/cohort-matrix.md
customer_segments_action_clicked,1,04-komponenty-domenowe/customer-segments.md
customer_segments_evidence_opened,1,04-komponenty-domenowe/customer-segments.md
customer_segments_viewed,1,04-komponenty-domenowe/customer-segments.md
data_quality_opened,129,07-centrum-dowodzenia/README.md | 08-kampanie-platne/README.md | 09-zamowienia/README.md | 10-produkty/README.md | 11-klienci/README.md | 12-ruch-i-lejek/README.md | 13-integracje-i-synchronizacja/README.md | 14-jakosc-danych-i-integralnosc/README.md | 15-papa-asystent-i-laboratorium-ai/README.md | 16-ustawienia-zespol-bezpieczenstwo/README.md | 17-subskrypcja-i-platnosci/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md | 19-centrum-pomocy/README.md
data_status_banner_action_clicked,1,04-komponenty-domenowe/data-status-banner.md
data_status_banner_evidence_opened,1,04-komponenty-domenowe/data-status-banner.md
data_status_banner_viewed,1,04-komponenty-domenowe/data-status-banner.md
data_status_viewed,1,04-komponenty-domenowe/data-status-banner.md
decision_opened,1,04-komponenty-domenowe/decision-queue.md
decision_queue_action_clicked,1,04-komponenty-domenowe/decision-queue.md
decision_queue_evidence_opened,1,04-komponenty-domenowe/decision-queue.md
decision_queue_viewed,1,04-komponenty-domenowe/decision-queue.md
decision_status_changed,1,04-komponenty-domenowe/decision-queue.md
definition_opened,1,04-komponenty-domenowe/sales-funnel.md
discrepancy_opened,1,04-komponenty-domenowe/reconciliation-panel.md
driver_selected,1,04-komponenty-domenowe/result-drivers.md
evidence_opened,3,04-komponenty-domenowe/attribution-comparison.md | 04-komponenty-domenowe/plan-performance.md | 04-komponenty-domenowe/result-drivers.md
evidence_panel_action_clicked,1,04-komponenty-domenowe/evidence-panel.md
evidence_panel_evidence_opened,1,04-komponenty-domenowe/evidence-panel.md
evidence_panel_opened,1,04-komponenty-domenowe/evidence-panel.md
evidence_panel_viewed,1,04-komponenty-domenowe/evidence-panel.md
filter_changed,129,07-centrum-dowodzenia/README.md | 08-kampanie-platne/README.md | 09-zamowienia/README.md | 10-produkty/README.md | 11-klienci/README.md | 12-ruch-i-lejek/README.md | 13-integracje-i-synchronizacja/README.md | 14-jakosc-danych-i-integralnosc/README.md | 15-papa-asystent-i-laboratorium-ai/README.md | 16-ustawienia-zespol-bezpieczenstwo/README.md | 17-subskrypcja-i-platnosci/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md | 19-centrum-pomocy/README.md
flow_completed,18,20-przeplywy-e2e/01-06-access-i-dane.md | 20-przeplywy-e2e/07-12-jakosc-i-wzrost.md | 20-przeplywy-e2e/13-18-ai-decyzje-billing.md
flow_started,18,20-przeplywy-e2e/01-06-access-i-dane.md | 20-przeplywy-e2e/07-12-jakosc-i-wzrost.md | 20-przeplywy-e2e/13-18-ai-decyzje-billing.md
funnel_evidence_opened,1,04-komponenty-domenowe/funnel-step.md
funnel_segment_changed,1,04-komponenty-domenowe/funnel-step.md
funnel_step_action_clicked,1,04-komponenty-domenowe/funnel-step.md
funnel_step_evidence_opened,1,04-komponenty-domenowe/funnel-step.md
funnel_step_selected,1,04-komponenty-domenowe/sales-funnel.md
funnel_step_viewed,1,04-komponenty-domenowe/funnel-step.md
issue_opened,1,04-komponenty-domenowe/data-status-banner.md
lineage_graph_action_clicked,1,04-komponenty-domenowe/lineage-graph.md
lineage_graph_evidence_opened,1,04-komponenty-domenowe/lineage-graph.md
lineage_graph_viewed,1,04-komponenty-domenowe/lineage-graph.md
lineage_node_selected,1,04-komponenty-domenowe/lineage-graph.md
login_failed,2,23-bezpieczenstwo-platformy/README.md
mfa_failed,2,23-bezpieczenstwo-platformy/README.md
morning_brief_action_clicked,1,04-komponenty-domenowe/morning-brief.md
morning_brief_evidence_opened,1,04-komponenty-domenowe/morning-brief.md
morning_brief_viewed,1,04-komponenty-domenowe/morning-brief.md
onboarding_first_value_reached,1,03-dostep-rejestracja-onboarding/README.md
pairing_completed,1,04-komponenty-domenowe/pairing-flow.md
pairing_failed,1,04-komponenty-domenowe/pairing-flow.md
pairing_flow_action_clicked,1,04-komponenty-domenowe/pairing-flow.md
pairing_flow_evidence_opened,1,04-komponenty-domenowe/pairing-flow.md
pairing_flow_viewed,1,04-komponenty-domenowe/pairing-flow.md
pairing_started,1,04-komponenty-domenowe/pairing-flow.md
plan_performance_action_clicked,1,04-komponenty-domenowe/plan-performance.md
plan_performance_evidence_opened,1,04-komponenty-domenowe/plan-performance.md
plan_performance_viewed,1,04-komponenty-domenowe/plan-performance.md
preference_changed,1,24-aplikacja-mobilna/README.md
range_changed,1,04-komponenty-domenowe/plan-performance.md
recommendation_card_action_clicked,1,04-komponenty-domenowe/recommendation-card.md
recommendation_card_evidence_opened,1,04-komponenty-domenowe/recommendation-card.md
recommendation_card_viewed,1,04-komponenty-domenowe/recommendation-card.md
recommendation_viewed,1,04-komponenty-domenowe/recommendation-card.md
reconciliation_panel_action_clicked,1,04-komponenty-domenowe/reconciliation-panel.md
reconciliation_panel_evidence_opened,1,04-komponenty-domenowe/reconciliation-panel.md
reconciliation_panel_viewed,1,04-komponenty-domenowe/reconciliation-panel.md
reconciliation_retry_started,1,04-komponenty-domenowe/reconciliation-panel.md
reconciliation_viewed,1,04-komponenty-domenowe/reconciliation-panel.md
record_opened,129,07-centrum-dowodzenia/README.md | 08-kampanie-platne/README.md | 09-zamowienia/README.md | 10-produkty/README.md | 11-klienci/README.md | 12-ruch-i-lejek/README.md | 13-integracje-i-synchronizacja/README.md | 14-jakosc-danych-i-integralnosc/README.md | 15-papa-asystent-i-laboratorium-ai/README.md | 16-ustawienia-zespol-bezpieczenstwo/README.md | 17-subskrypcja-i-platnosci/README.md | 18-wsparcie-marketingowe-decyzje-dzialania/README.md | 19-centrum-pomocy/README.md
recovery_started,2,23-bezpieczenstwo-platformy/README.md
remediation_started,1,04-komponenty-domenowe/data-status-banner.md
result_drivers_action_clicked,1,04-komponenty-domenowe/result-drivers.md
result_drivers_evidence_opened,1,04-komponenty-domenowe/result-drivers.md
result_drivers_viewed,1,04-komponenty-domenowe/result-drivers.md
risk_changed,1,24-aplikacja-mobilna/README.md
sales_funnel_action_clicked,1,04-komponenty-domenowe/sales-funnel.md
sales_funnel_evidence_opened,1,04-komponenty-domenowe/sales-funnel.md
sales_funnel_viewed,1,04-komponenty-domenowe/sales-funnel.md
sales_sources_action_clicked,1,04-komponenty-domenowe/sales-sources.md
sales_sources_evidence_opened,1,04-komponenty-domenowe/sales-sources.md
