route,document,title,status,ownership
/app/billing/faktury,17-subskrypcja-i-platnosci/70-04-faktury.md,Faktury,target,canonical-runtime
/app/billing/korekty,17-subskrypcja-i-platnosci/70-07-korekty.md,Korekty,target,canonical-runtime
/app/billing/pilot-do-abonamentu,17-subskrypcja-i-platnosci/70-09-pilot-do-abonamentu.md,Pilot do abonamentu,target,canonical-runtime
/app/billing/plany,17-subskrypcja-i-platnosci/70-03-plany.md,Plany,target,canonical-runtime
/app/billing/platnosci,17-subskrypcja-i-platnosci/70-05-platnosci.md,Płatności,target,canonical-runtime
/app/billing/subskrypcja,17-subskrypcja-i-platnosci/70-01-subskrypcja.md,Subskrypcja,target,canonical-runtime
/app/billing/uzycie-i-limity,17-subskrypcja-i-platnosci/70-02-uzycie-i-limity.md,Użycie i limity,target,canonical-runtime
/app/billing/zalegla-platnosc,17-subskrypcja-i-platnosci/70-06-zalegla-platnosc.md,Zaległa płatność,target,canonical-runtime
/app/billing/zmiana-i-anulowanie,17-subskrypcja-i-platnosci/70-08-zmiana-i-anulowanie.md,Zmiana i anulowanie,target,canonical-runtime
/app/campaigns/atrybucja-i-sprzedaz,08-kampanie-platne/31-04-atrybucja-i-sprzedaz.md,Atrybucja i sprzedaż,target,canonical-runtime
/app/campaigns/budzet,08-kampanie-platne/31-05-budzet.md,Budżet,target,canonical-runtime
/app/campaigns/diagnostyka,08-kampanie-platne/31-06-diagnostyka.md,Diagnostyka,target,canonical-runtime
/app/campaigns/lista-kampanii,08-kampanie-platne/31-02-lista-kampanii.md,Lista kampanii,target,canonical-runtime
/app/campaigns/przeglad,08-kampanie-platne/31-01-przeglad.md,Przegląd,target,canonical-runtime
/app/campaigns/rekomendacje-kontekst-domenowy,08-kampanie-platne/31-07-rekomendacje-kontekst-domenowy.md,Rekomendacje — kontekst domenowy,target,canonical-runtime
/app/campaigns/szczegoly-kampanii/:resourceId,08-kampanie-platne/31-03-szczegoly-kampanii.md,Szczegóły kampanii,target,canonical-runtime
/app/command-center/drivery-wyniku,07-centrum-dowodzenia/30-05-drivery-wyniku.md,Drivery wyniku,target,canonical-runtime
/app/command-center/klienci,07-centrum-dowodzenia/30-09-klienci.md,Klienci,target,canonical-runtime
/app/command-center/kolejka-uwagi,07-centrum-dowodzenia/30-02-kolejka-uwagi.md,Kolejka uwagi,target,canonical-runtime
/app/command-center/kpi,07-centrum-dowodzenia/30-03-kpi.md,KPI,target,canonical-runtime
/app/command-center/lejek,07-centrum-dowodzenia/30-10-lejek.md,Lejek,target,canonical-runtime
/app/command-center/plan-vs-wynik,07-centrum-dowodzenia/30-04-plan-vs-wynik.md,Plan vs wynik,target,canonical-runtime
/app/command-center/produkty,07-centrum-dowodzenia/30-08-produkty.md,Produkty,target,canonical-runtime
/app/command-center/rekomendacje-ai-skrot,07-centrum-dowodzenia/30-11-rekomendacje-ai-skrot.md,Rekomendacje AI — skrót,target,canonical-runtime
/app/command-center/ruch,07-centrum-dowodzenia/30-07-ruch.md,Ruch,target,canonical-runtime
/app/command-center/sygnaly-sprzedazowe,07-centrum-dowodzenia/30-12-sygnaly-sprzedazowe.md,Sygnały sprzedażowe,target,canonical-runtime
/app/command-center/waterfall,07-centrum-dowodzenia/30-13-waterfall.md,Waterfall,target,canonical-runtime
/app/command-center/widok-glowny,07-centrum-dowodzenia/30-01-widok-glowny.md,Widok główny,target,canonical-runtime
/app/command-center/zrodla-sprzedazy,07-centrum-dowodzenia/30-06-zrodla-sprzedazy.md,Źródła sprzedaży,target,canonical-runtime
/app/customers/analiza-wplywu,11-klienci/34-07-analiza-wplywu.md,Analiza wpływu,target,canonical-runtime
/app/customers/kohorty,11-klienci/34-03-kohorty.md,Kohorty,target,canonical-runtime
/app/customers/konflikty-tozsamosci,11-klienci/34-05-konflikty-tozsamosci.md,Konflikty tożsamości,target,canonical-runtime
/app/customers/prywatnosc,11-klienci/34-06-prywatnosc.md,Prywatność,target,canonical-runtime
/app/customers/przeglad,11-klienci/34-01-przeglad.md,Przegląd,target,canonical-runtime
/app/customers/segmenty,11-klienci/34-02-segmenty.md,Segmenty,target,canonical-runtime
/app/customers/szczegoly-pseudonimizowane/:resourceId,11-klienci/34-04-szczegoly-pseudonimizowane.md,Szczegóły pseudonimizowane,target,canonical-runtime
