component,source_file,props_type,story_id,status,owner
PapaDataBrand,apps/web/src/design-system/icons/PapaDataBrand.tsx,PapaDataBrandProps,00.12,accepted,Design System
Icon,apps/web/src/design-system/icons/Icon.tsx,IconProps,00.13,accepted,Design System
Button,apps/web/src/design-system/components/Button/Button.tsx,ButtonProps,00.14,accepted,Design System
TextAction,apps/web/src/design-system/components/Button/TextAction.tsx,TextActionProps,00.14,accepted,Design System
LinkAction,apps/web/src/design-system/components/Button/LinkAction.tsx,LinkActionProps,00.14,accepted,Design System
IconButton,apps/web/src/design-system/components/Button/IconButton.tsx,IconButtonProps,00.14,accepted,Design System
ButtonGroup,apps/web/src/design-system/components/Button/ButtonGroup.tsx,ButtonGroupProps,00.14,accepted,Design System
TextField,apps/web/src/design-system/components/Field/TextField.tsx,TextFieldProps,00.15,accepted,Design System
PasswordField,apps/web/src/design-system/components/Field/PasswordField.tsx,PasswordFieldProps,00.15,accepted,Design System
Textarea,apps/web/src/design-system/components/Field/Textarea.tsx,TextareaProps,00.15,accepted,Design System
FileInput,apps/web/src/design-system/components/Field/FileInput.tsx,FileInputProps,00.15,accepted,Design System
VerificationCodeInput,apps/web/src/design-system/components/VerificationCodeInput/VerificationCodeInput.tsx,VerificationCodeInputProps,00.15,accepted,Design System
ChartFrame,apps/web/src/design-system/components/ChartFrame/ChartFrame.tsx,ChartFrameProps,15.01,accepted,Analytics UI
MetricCard,apps/web/src/design-system/components/MetricCard/MetricCard.tsx,MetricCardProps,15.02,accepted,Analytics UI
TrendChart,apps/web/src/design-system/components/TrendChart/TrendChart.tsx,TrendChartProps,15.03,accepted,Analytics UI
ComparisonChart,apps/web/src/design-system/components/ComparisonChart/ComparisonChart.tsx,ComparisonChartProps,15.04,accepted,Analytics UI
ShareChart,apps/web/src/design-system/components/ShareChart/ShareChart.tsx,ShareChartProps,15.05,accepted,Analytics UI
CorrelationChart,apps/web/src/design-system/components/CorrelationChart/CorrelationChart.tsx,CorrelationChartProps,15.06,accepted,Analytics UI
ForecastChart,apps/web/src/design-system/components/ForecastChart/ForecastChart.tsx,ForecastChartProps,15.07,accepted,Analytics UI
ChartDataState,apps/web/src/design-system/components/ChartDataState/ChartDataState.tsx,ChartDataStateProps,15.08,accepted,Analytics UI
ChartInteractionLayer,apps/web/src/design-system/components/ChartInteractionLayer/ChartInteractionLayer.tsx,ChartInteractionLayerProps,15.09,accepted,Analytics UI
AlertDialog,apps/web/src/design-system/components/AlertDialog/AlertDialog.tsx,AlertDialogProps,18.05,accepted,Cross-cutting Patterns
ApprovalPanel,apps/web/src/design-system/components/ApprovalPanel/ApprovalPanel.tsx,ApprovalPanelProps,18.06,accepted,Cross-cutting Patterns
BackgroundOperationItem,apps/web/src/design-system/components/BackgroundOperationItem/BackgroundOperationItem.tsx,BackgroundOperationItemProps,18.03,accepted,Cross-cutting Patterns
DataTable,apps/web/src/design-system/components/DataTable/DataTable.tsx,DataTableProps,18.04,accepted,Cross-cutting Patterns
ErrorState,apps/web/src/design-system/components/ErrorState/ErrorState.tsx,ErrorStateProps,18.02,accepted,Cross-cutting Patterns
FilterBar,apps/web/src/design-system/components/FilterBar/FilterBar.tsx,FilterBarProps,18.04,accepted,Cross-cutting Patterns
ProgressIndicator,apps/web/src/design-system/components/ProgressIndicator/ProgressIndicator.tsx,ProgressIndicatorProps,18.03,accepted,Cross-cutting Patterns
SearchField,apps/web/src/design-system/components/SearchField/SearchField.tsx,SearchFieldProps,18.04,accepted,Cross-cutting Patterns
SectionNavigation,apps/web/src/design-system/components/SectionNavigation/SectionNavigation.tsx,SectionNavigationProps,18.01,accepted,Cross-cutting Patterns
SegmentedControl,apps/web/src/design-system/components/SegmentedControl/SegmentedControl.tsx,SegmentedControlProps,18.04,accepted,Cross-cutting Patterns
Select,apps/web/src/design-system/components/Select/Select.tsx,SelectProps,00.15,accepted,Design System
Skeleton,apps/web/src/design-system/components/Skeleton/Skeleton.tsx,SkeletonProps,18.03,accepted,Cross-cutting Patterns
SortControl,apps/web/src/design-system/components/SortControl/SortControl.tsx,SortControlProps,18.04,accepted,Cross-cutting Patterns
Spinner,apps/web/src/design-system/components/Spinner/Spinner.tsx,SpinnerProps,18.03,accepted,Cross-cutting Patterns
StatusBadge,apps/web/src/design-system/components/StatusBadge/StatusBadge.tsx,StatusBadgeProps,18.08,accepted,Cross-cutting Patterns
Tabs,apps/web/src/design-system/components/Tabs/Tabs.tsx,TabsProps,18.07,accepted,Cross-cutting Patterns
Toast,apps/web/src/design-system/components/Toast/Toast.tsx,ToastProps,18.11,accepted,Cross-cutting Patterns
Tooltip,apps/web/src/design-system/components/Tooltip/Tooltip.tsx,TooltipProps,15.09,accepted,Analytics UI
Breadcrumbs,apps/web/src/design-system/components/Breadcrumbs/Breadcrumbs.tsx,BreadcrumbsProps,10.target,review,Design System
Checkbox,apps/web/src/design-system/components/Checkbox/Checkbox.tsx,CheckboxProps,00.15,accepted,Design System
DataList,apps/web/src/design-system/components/DataList/DataList.tsx,DataListProps,10.target,review,Design System
Dialog,apps/web/src/design-system/components/Dialog/Dialog.tsx,DialogProps,20.10,accepted,Product Shell
Drawer,apps/web/src/design-system/components/Drawer/Drawer.tsx,DrawerProps,20.10,accepted,Product Shell
EmptyState,apps/web/src/design-system/components/EmptyState/EmptyState.tsx,EmptyStateProps,18.02,accepted,Cross-cutting Patterns
FilterChip,apps/web/src/design-system/components/FilterChip/FilterChip.tsx,FilterChipProps,10.target,review,Design System
InlineNotice,apps/web/src/design-system/components/InlineNotice/InlineNotice.tsx,InlineNoticeProps,18.08,accepted,Cross-cutting Patterns
KeyValueList,apps/web/src/design-system/components/KeyValueList/KeyValueList.tsx,KeyValueListProps,10.target,review,Design System
Menu,apps/web/src/design-system/components/Menu/Menu.tsx,MenuProps,10.target,review,Design System
OverlayRoot,apps/web/src/design-system/components/OverlayRoot/OverlayRoot.tsx,OverlayRootProps,20.10,accepted,Product Shell
Pagination,apps/web/src/design-system/components/Pagination/Pagination.tsx,PaginationProps,10.target,review,Design System
PaginationNav,apps/web/src/design-system/components/PaginationNav/PaginationNav.tsx,PaginationNavProps,10.target,review,Design System
Popover,apps/web/src/design-system/components/Popover/Popover.tsx,PopoverProps,20.10,accepted,Product Shell
Switch,apps/web/src/design-system/components/Switch/Switch.tsx,SwitchProps,10.target,review,Design System
Table,apps/web/src/design-system/components/Table/Table.tsx,TableProps,10.target,review,Design System
